nhl_id,ff_id,playerFullName,teamAbbrevs,positionCode,gamesPlayed,playerType,freeAgent,fantasy_points_total,fantasy_points_per_game,hits,blockedShots,realtimeTOI
8482929,,Emil Lilleberg,TBL,D,11,Skater,0,17.8,1.618,16,8,861.27
8475208,,Brian Dumoulin,LAK,D,12,Skater,0,17.75,1.479,11,18,1203.5
8473507,1758,Jeff Petry,FLA,D,11,Skater,1,17.65,1.605,8,11,887.36
8475906,,John Klingberg,SJS,D,5,Skater,0,17.55,3.51,8,8,1259.8
8480829,,Jesperi Kotkaniemi,CAR,C,8,Skater,0,17.55,2.194,10,7,611.87
8481711,,Matias Maccelli,TOR,L,11,Skater,0,17.5,1.591,1,4,824.72
8482655,,J.J. Moser,TBL,D,9,Skater,0,17.5,1.944,10,8,1266.88
8479353,,Brett Howden,VGK,C,7,Skater,0,17.35,2.479,16,1,793.14
8478443,3967,Brandon Carlo,TOR,D,11,Skater,1,17.3,1.573,6,14,1182.54
8479496,4246,David Rittich,NYI,G,3,Goalie,1,17.25,5.75,0,0,0
8481607,9144,Albert Johansson,DET,D,11,Skater,1,17.2,1.564,10,13,913.0
8476463,2352,Jonas Brodin,MIN,D,11,Skater,1,17.05,1.55,1,20,1264.0
8479414,4224,Nathan Bastian,DAL,R,11,Skater,1,17.05,1.55,23,3,426.72
8475714,,Calle Jarnkrok,TOR,C,8,Skater,0,16.900000000000002,2.113,3,2,675.25
8477478,,William Carrier,CAR,L,7,Skater,0,16.9,2.414,14,1,619.42
8477480,3139,Eric Comrie,WPG,G,2,Goalie,1,16.75,8.375,0,0,0
8477450,3190,Jason Dickinson,CHI,C,8,Skater,1,16.700000000000003,2.088,6,6,863.37
8482074,8220,Connor Zary,CGY,C,11,Skater,1,16.6,1.509,7,3,782.45
8477425,,Miles Wood,CBJ,L,5,Skater,0,16.55,3.31,6,0,610.4
8482088,8285,Justin Sourdif,WSH,R,11,Skater,1,16.5,1.5,19,4,706.9
8476917,2863,Adam Pelech,NYI,D,11,Skater,1,16.4,1.491,4,15,1137.45
8480873,4868,Rasmus Sandin,WSH,D,7,Skater,1,16.4,2.343,16,10,1163.85
8481491,9216,Noah Philp,EDM,C,6,Skater,1,16.4,2.733,9,1,680.66
8484149,,Gavin Brindley,COL,C,12,Skater,0,16.3,1.358,12,4,521.16
8481014,4862,Alexander Romanov,NYI,D,6,Skater,0,16.2,2.7,18,18,1121.83
8479370,4366,Tyson Jost,NSH,C,10,Skater,1,16.150000000000002,1.615,14,5,741.7
8483512,,Matt Savoie,EDM,C,12,Skater,0,16.15,1.346,3,8,790.16
8477810,3907,Joel Hanley,CGY,D,12,Skater,1,16.1,1.342,9,18,940.58
8482176,8289,Wyatt Kaiser,CHI,D,11,Skater,1,16.05,1.459,12,6,1177.0
8478178,,Darren Raddysh,TBL,D,7,Skater,0,16.0,2.286,5,4,889.85
8479576,,Vincent Desharnais,SJS,D,7,Skater,0,16.0,2.286,10,12,992.42
8476412,2591,Jordan Binnington,STL,G,9,Goalie,0,16.0,1.778,0,0,0
8476897,2781,Oskar Sundqvist,STL,C,5,Skater,1,15.900000000000002,3.18,7,2,844.2
8478399,,Jonas Siegenthaler,NJD,D,11,Skater,0,15.900000000000002,1.445,8,19,1168.81
8483455,8926,Isaac Howard,EDM,L,11,Skater,1,15.9,1.445,1,1,591.09
8476278,,Colin Blackwell,DAL,C,11,Skater,0,15.850000000000001,1.441,21,5,713.27
8480950,5089,Ilya Lyubushkin,DAL,D,9,Skater,1,15.850000000000001,1.761,11,14,952.0
