nhl_id,ff_id,playerFullName,teamAbbrevs,positionCode,gamesPlayed,playerType,freeAgent,fantasy_points_total,fantasy_points_per_game,hits,blockedShots,realtimeTOI
8480012,,Elias Pettersson,VAN,C,12,Skater,0,49.7,4.142,17,25,1171.25
8479323,,Adam Fox,NYR,D,12,Skater,0,49.55,4.129,7,22,1428.58
8478856,,Conor Garland,VAN,R,11,Skater,0,49.4,4.491,8,6,1230.27
8477942,,Kevin Fiala,LAK,L,12,Skater,0,49.35000000000001,4.113,8,3,1096.16
8478493,,Joel Eriksson Ek,MIN,C,12,Skater,0,48.95,4.079,25,9,1182.91
8477511,,Anthony Mantha,PIT,R,12,Skater,0,48.85,4.071,6,8,905.58
8480839,,Rasmus Dahlin,BUF,D,11,Skater,0,48.85,4.441,11,13,1471.81
8483445,,Cutter Gauthier,ANA,L,9,Skater,0,48.85,5.428,11,4,1106.22
8482476,,Emil Heineman,NYI,L,10,Skater,0,48.5,4.85,44,3,873.1
8479312,,Alex Lyon,BUF,G,9,Goalie,0,48.5,5.389,0,0,0
8477476,,Artturi Lehkonen,COL,L,12,Skater,0,48.45,4.038,6,12,1163.75
8482124,,Quinton Byfield,LAK,R,12,Skater,0,48.45,4.038,14,5,1195.75
8479325,,Charlie McAvoy,BOS,D,13,Skater,0,48.3,3.715,21,20,1443.07
8475200,,Dmitry Orlov,SJS,D,11,Skater,0,48.24999999999999,4.386,22,16,1375.36
8476462,,Dougie Hamilton,NJD,D,11,Skater,0,48.2,4.382,14,16,1321.27
8484153,,Leo Carlsson,ANA,C,9,Skater,0,48.199999999999996,5.356,1,6,1164.33
8478519,,Anthony Cirelli,TBL,C,11,Skater,0,47.95,4.359,8,8,1188.0
8483515,,Juraj Slafkovský,MTL,L,11,Skater,0,47.8,4.345,21,12,1094.0
8480014,,Gabriel Vilardi,WPG,C,11,Skater,0,47.6,4.327,4,4,1118.27
8475768,,Jaden Schwartz,SEA,L,10,Skater,0,47.25000000000001,4.725,18,9,1020.3
8478916,,Joey Daccord,SEA,G,8,Goalie,0,47.25,5.906,0,0,0
8475810,,Bryan Rust,PIT,R,10,Skater,0,47.2,4.72,1,14,1214.2
8479410,,Mikhail Sergachev,UTA,D,11,Skater,0,47.1,4.282,3,21,1492.72
8475172,,Nazem Kadri,CGY,C,12,Skater,0,46.800000000000004,3.9,9,4,1238.83
8477504,,Josh Morrissey,WPG,D,11,Skater,0,46.2,4.2,7,23,1486.09
8477404,,Jake Guentzel,TBL,C,11,Skater,0,45.99999999999999,4.182,2,6,1286.09
8476399,,Blake Coleman,CGY,L,12,Skater,0,45.9,3.825,26,7,1051.66
8484471,,Emmitt Finnie,DET,C,11,Skater,0,45.849999999999994,4.168,27,7,980.09
8482487,,Jakub Dobes,MTL,G,6,Goalie,0,45.75,7.625,0,0,0
8480002,,Nico Hischier,NJD,C,11,Skater,0,45.65,4.15,7,13,1217.63
8475799,,Nino Niederreiter,WPG,R,11,Skater,0,45.50000000000001,4.136,24,3,868.36
8478460,,Zach Werenski,CBJ,D,10,Skater,0,45.099999999999994,4.51,7,17,1555.8
8477987,,Ryan Donato,CHI,C,11,Skater,0,45.050000000000004,4.095,16,3,943.0
8482079,,Marco Rossi,MIN,C,11,Skater,0,45.05,4.095,6,6,1100.09
8484227,,Will Smith,SJS,C,11,Skater,0,45.0,4.091,6,5,1068.72
8475158,,Ryan O'Reilly,NSH,C,12,Skater,0,44.8,3.733,6,11,1174.25
8476459,,Mika Zibanejad,NYR,C,12,Skater,0,44.8,3.733,18,7,1267.25
8475151,,Kyle Palmieri,NYI,C,10,Skater,0,44.6,4.46,10,6,1188.9
